areaName,date,newAdmissions,cumAdmissions,cumAdmissionsByAge,cumTestsByPublishDate,newTestsByPublishDate,covidOccupiedMVBeds,hospitalCases
England,2020-10-12,,,,,,426,3665
England,2020-10-11,,,,,,401,3451
England,2020-10-10,515,124068,"[{'age': '0_to_5', 'value': 794, 'rate': 19.6}, {'age': '65_to_84', 'value': 51699, 'rate': 586.5}, {'age': '6_to_17', 'value': 727, 'rate': 9.2}, {'age': '18_to_64', 'value': 40514, 'rate': 119.7}, {'age': '85+', 'value': 26595, 'rate': 1948.4}]",,,396,3225
England,2020-10-09,544,123553,"[{'age': '0_to_5', 'value': 791, 'rate': 19.5}, {'age': '65_to_84', 'value': 51465, 'rate': 583.9}, {'age': '6_to_17', 'value': 723, 'rate': 9.1}, {'age': '18_to_64', 'value': 40339, 'rate': 119.2}, {'age': '85+', 'value': 26496, 'rate': 1941.1}]",232969,232969,367,3090
England,2020-10-08,513,123009,"[{'age': '0_to_5', 'value': 782, 'rate': 19.3}, {'age': '65_to_84', 'value': 51219, 'rate': 581.1}, {'age': '6_to_17', 'value': 721, 'rate': 9.1}, {'age': '18_to_64', 'value': 40147, 'rate': 118.6}, {'age': '85+', 'value': 26401, 'rate': 1934.2}]",203908,203908,368,3044
England,2020-10-07,491,122496,"[{'age': '0_to_5', 'value': 777, 'rate': 19.2}, {'age': '65_to_84', 'value': 51011, 'rate': 578.7}, {'age': '6_to_17', 'value': 716, 'rate': 9.1}, {'age': '18_to_64', 'value': 39954, 'rate': 118.1}, {'age': '85+', 'value': 26299, 'rate': 1926.7}]",206933,206933,376,2944
England,2020-10-06,524,122005,"[{'age': '0_to_5', 'value': 771, 'rate': 19.0}, {'age': '65_to_84', 'value': 50816, 'rate': 576.5}, {'age': '6_to_17', 'value': 708, 'rate': 9.0}, {'age': '18_to_64', 'value': 39750, 'rate': 117.5}, {'age': '85+', 'value': 26221, 'rate': 1921.0}]",204621,204621,349,2783
England,2020-10-05,472,121481,"[{'age': '0_to_5', 'value': 769, 'rate': 19.0}, {'age': '65_to_84', 'value': 50593, 'rate': 574.0}, {'age': '6_to_17', 'value': 705, 'rate': 8.9}, {'age': '18_to_64', 'value': 39556, 'rate': 116.9}, {'age': '85+', 'value': 26119, 'rate': 1913.5}]",191426,191426,331,2593
England,2020-10-04,478,121009,"[{'age': '0_to_5', 'value': 765, 'rate': 18.9}, {'age': '65_to_84', 'value': 50375, 'rate': 571.5}, {'age': '6_to_17', 'value': 700, 'rate': 8.9}, {'age': '18_to_64', 'value': 39387, 'rate': 116.4}, {'age': '85+', 'value': 26043, 'rate': 1907.9}]",226193,226193,310,2329
England,2020-10-03,386,120531,"[{'age': '0_to_5', 'value': 762, 'rate': 18.8}, {'age': '65_to_84', 'value': 50148, 'rate': 568.9}, {'age': '6_to_17', 'value': 694, 'rate': 8.8}, {'age': '18_to_64', 'value': 39202, 'rate': 115.8}, {'age': '85+', 'value': 25986, 'rate': 1903.8}]",214467,214467,307,2194
England,2020-10-02,371,120145,"[{'age': '0_to_5', 'value': 760, 'rate': 18.8}, {'age': '65_to_84', 'value': 49981, 'rate': 567.0}, {'age': '6_to_17', 'value': 694, 'rate': 8.8}, {'age': '18_to_64', 'value': 39033, 'rate': 115.3}, {'age': '85+', 'value': 25938, 'rate': 1900.3}]",208390,208390,310,2088
England,2020-10-01,368,119774,"[{'age': '0_to_5', 'value': 758, 'rate': 18.7}, {'age': '65_to_84', 'value': 49819, 'rate': 565.2}, {'age': '6_to_17', 'value': 690, 'rate': 8.7}, {'age': '18_to_64', 'value': 38883, 'rate': 114.9}, {'age': '85+', 'value': 25885, 'rate': 1896.4}]",210071,210071,285,1995
England,2020-09-30,328,119406,"[{'age': '0_to_5', 'value': 758, 'rate': 18.7}, {'age': '65_to_84', 'value': 49653, 'rate': 563.3}, {'age': '6_to_17', 'value': 688, 'rate': 8.7}, {'age': '18_to_64', 'value': 38725, 'rate': 114.4}, {'age': '85+', 'value': 25843, 'rate': 1893.3}]",184624,184624,281,1958
England,2020-09-29,310,119078,"[{'age': '0_to_5', 'value': 752, 'rate': 18.6}, {'age': '65_to_84', 'value': 49523, 'rate': 561.8}, {'age': '6_to_17', 'value': 685, 'rate': 8.7}, {'age': '18_to_64', 'value': 38594, 'rate': 114.0}, {'age': '85+', 'value': 25785, 'rate': 1889.0}]",173952,173952,259,1881
England,2020-09-28,308,118768,"[{'age': '0_to_5', 'value': 751, 'rate': 18.5}, {'age': '65_to_84', 'value': 49395, 'rate': 560.4}, {'age': '6_to_17', 'value': 684, 'rate': 8.7}, {'age': '18_to_64', 'value': 38465, 'rate': 113.7}, {'age': '85+', 'value': 25734, 'rate': 1885.3}]",198479,198479,245,1883
England,2020-09-27,241,118460,"[{'age': '0_to_5', 'value': 747, 'rate': 18.4}, {'age': '65_to_84', 'value': 49274, 'rate': 559.0}, {'age': '6_to_17', 'value': 681, 'rate': 8.6}, {'age': '18_to_64', 'value': 38330, 'rate': 113.3}, {'age': '85+', 'value': 25689, 'rate': 1882.0}]",202975,202975,233,1721
England,2020-09-26,245,118219,"[{'age': '0_to_5', 'value': 746, 'rate': 18.4}, {'age': '65_to_84', 'value': 49178, 'rate': 557.9}, {'age': '6_to_17', 'value': 679, 'rate': 8.6}, {'age': '18_to_64', 'value': 38217, 'rate': 112.9}, {'age': '85+', 'value': 25660, 'rate': 1879.9}]",227056,227056,223,1622
England,2020-09-25,274,117974,"[{'age': '0_to_5', 'value': 746, 'rate': 18.4}, {'age': '65_to_84', 'value': 49074, 'rate': 556.8}, {'age': '6_to_17', 'value': 674, 'rate': 8.5}, {'age': '18_to_64', 'value': 38113, 'rate': 112.6}, {'age': '85+', 'value': 25628, 'rate': 1877.5}]",216636,216636,227,1615
