areaName,date,newCasesByPublishDate,cumCasesByPublishDate,maleCases,femaleCases,cumCasesByPublishDateRate,cumDeaths28DaysByPublishDateRate,newDeaths28DaysByPublishDate,cumDeaths28DaysByPublishDate
England,2020-12-01,11618,1413410,,,2511.0999999999999091,91.900000000000005684,531,51718
England,2020-11-30,10869,1401792,"[{'age': '70_to_74', 'value': 20869, 'rate': 1568.9}, {'age': '20_to_24', 'value': 61500, 'rate': 3873.5}, {'age': '55_to_59', 'value': 45279, 'rate': 2349.8}, {'age': '50_to_54', 'value': 49642, 'rate': 2699}, {'age': '35_to_39', 'value': 47606, 'rate': 2504.9}, {'age': '90+', 'value': 9719, 'rate': 5846.6}, {'age': '60_to_64', 'value': 34493, 'rate': 2258.5}, {'age': '75_to_79', 'value': 18130, 'rate': 2012.9}, {'age': '45_to_49', 'value': 46354, 'rate': 2726.4}, {'age': '5_to_9', 'value': 13873, 'rate': 766.6}, {'age': '25_to_29', 'value': 54633, 'rate': 3047.5}, {'age': '85_to_89', 'value': 14236, 'rate': 4057.6}, {'age': '15_to_19', 'value': 51164, 'rate': 2975.6}, {'age': '80_to_84', 'value': 17623, 'rate': 2773.3}, {'age': '40_to_44', 'value': 44316, 'rate': 2396.6}, {'age': '30_to_34', 'value': 52647, 'rate': 2723.4}, {'age': '10_to_14', 'value': 24694, 'rate': 1362.5}, {'age': '65_to_69', 'value': 23435, 'rate': 1732.3}, {'age': '0_to_4', 'value': 12412, 'rate': 733}]","[{'age': '15_to_19', 'value': 62945, 'rate': 3850.3}, {'age': '40_to_44', 'value': 55275, 'rate': 2933.1}, {'age': '70_to_74', 'value': 18103, 'rate': 1249.2}, {'age': '45_to_49', 'value': 57682, 'rate': 3365.1}, {'age': '90+', 'value': 21403, 'rate': 6097}, {'age': '60_to_64', 'value': 35126, 'rate': 2216.7}, {'age': '75_to_79', 'value': 16847, 'rate': 1619.9}, {'age': '30_to_34', 'value': 64194, 'rate': 3436}, {'age': '25_to_29', 'value': 68051, 'rate': 4014.5}, {'age': '35_to_39', 'value': 58679, 'rate': 3076.4}, {'age': '65_to_69', 'value': 20739, 'rate': 1436.3}, {'age': '5_to_9', 'value': 12839, 'rate': 689.9}, {'age': '0_to_4', 'value': 11947, 'rate': 743.7}, {'age': '10_to_14', 'value': 24051, 'rate': 1393.7}, {'age': '85_to_89', 'value': 19651, 'rate': 3715.3}, {'age': '50_to_54', 'value': 59890, 'rate': 3191.5}, {'age': '55_to_59', 'value': 51890, 'rate': 2620}, {'age': '20_to_24', 'value': 74680, 'rate': 4970.3}, {'age': '80_to_84', 'value': 18757, 'rate': 2331.6}]",2490.4000000000000909,90.900000000000005684,189,51187
England,2020-11-29,10054,1390923,"[{'age': '80_to_84', 'value': 17606, 'rate': 2770.6}, {'age': '50_to_54', 'value': 49565, 'rate': 2694.8}, {'age': '15_to_19', 'value': 51097, 'rate': 2971.7}, {'age': '85_to_89', 'value': 14226, 'rate': 4054.7}, {'age': '35_to_39', 'value': 47539, 'rate': 2501.3}, {'age': '20_to_24', 'value': 61458, 'rate': 3870.8}, {'age': '75_to_79', 'value': 18118, 'rate': 2011.5}, {'age': '30_to_34', 'value': 52593, 'rate': 2720.6}, {'age': '10_to_14', 'value': 24625, 'rate': 1358.6}, {'age': '90+', 'value': 9708, 'rate': 5840}, {'age': '70_to_74', 'value': 20856, 'rate': 1567.9}, {'age': '25_to_29', 'value': 54581, 'rate': 3044.6}, {'age': '65_to_69', 'value': 23412, 'rate': 1730.6}, {'age': '60_to_64', 'value': 34443, 'rate': 2255.2}, {'age': '55_to_59', 'value': 45229, 'rate': 2347.2}, {'age': '40_to_44', 'value': 44253, 'rate': 2393.2}, {'age': '0_to_4', 'value': 12393, 'rate': 731.9}, {'age': '5_to_9', 'value': 13845, 'rate': 765.1}, {'age': '45_to_49', 'value': 46285, 'rate': 2722.3}]","[{'age': '30_to_34', 'value': 64116, 'rate': 3431.8}, {'age': '85_to_89', 'value': 19637, 'rate': 3712.6}, {'age': '65_to_69', 'value': 20723, 'rate': 1435.2}, {'age': '45_to_49', 'value': 57615, 'rate': 3361.2}, {'age': '75_to_79', 'value': 16830, 'rate': 1618.3}, {'age': '80_to_84', 'value': 18747, 'rate': 2330.4}, {'age': '50_to_54', 'value': 59825, 'rate': 3188.1}, {'age': '10_to_14', 'value': 23998, 'rate': 1390.6}, {'age': '35_to_39', 'value': 58607, 'rate': 3072.6}, {'age': '25_to_29', 'value': 67975, 'rate': 4010}, {'age': '5_to_9', 'value': 12816, 'rate': 688.6}, {'age': '0_to_4', 'value': 11931, 'rate': 742.7}, {'age': '70_to_74', 'value': 18094, 'rate': 1248.6}, {'age': '20_to_24', 'value': 74623, 'rate': 4966.5}, {'age': '90+', 'value': 21391, 'rate': 6093.6}, {'age': '40_to_44', 'value': 55183, 'rate': 2928.2}, {'age': '60_to_64', 'value': 35099, 'rate': 2215}, {'age': '55_to_59', 'value': 51844, 'rate': 2617.7}, {'age': '15_to_19', 'value': 62898, 'rate': 3847.5}]",2471.0999999999999091,90.599999999999994316,194,50998
England,2020-11-28,13323,1380869,"[{'age': '25_to_29', 'value': 54333, 'rate': 3030.8}, {'age': '30_to_34', 'value': 52314, 'rate': 2706.2}, {'age': '15_to_19', 'value': 50874, 'rate': 2958.7}, {'age': '90+', 'value': 9673, 'rate': 5818.9}, {'age': '75_to_79', 'value': 18053, 'rate': 2004.3}, {'age': '85_to_89', 'value': 14171, 'rate': 4039}, {'age': '10_to_14', 'value': 24377, 'rate': 1345}, {'age': '45_to_49', 'value': 46006, 'rate': 2705.9}, {'age': '55_to_59', 'value': 45013, 'rate': 2336}, {'age': '40_to_44', 'value': 43997, 'rate': 2379.4}, {'age': '60_to_64', 'value': 34302, 'rate': 2246}, {'age': '5_to_9', 'value': 13695, 'rate': 756.8}, {'age': '70_to_74', 'value': 20792, 'rate': 1563.1}, {'age': '35_to_39', 'value': 47273, 'rate': 2487.3}, {'age': '50_to_54', 'value': 49270, 'rate': 2678.7}, {'age': '20_to_24', 'value': 61262, 'rate': 3858.5}, {'age': '65_to_69', 'value': 23320, 'rate': 1723.8}, {'age': '0_to_4', 'value': 12296, 'rate': 726.2}, {'age': '80_to_84', 'value': 17547, 'rate': 2761.3}]","[{'age': '45_to_49', 'value': 57249, 'rate': 3339.9}, {'age': '70_to_74', 'value': 18025, 'rate': 1243.8}, {'age': '90+', 'value': 21326, 'rate': 6075.1}, {'age': '15_to_19', 'value': 62629, 'rate': 3831}, {'age': '10_to_14', 'value': 23749, 'rate': 1376.2}, {'age': '60_to_64', 'value': 34948, 'rate': 2205.5}, {'age': '20_to_24', 'value': 74330, 'rate': 4947}, {'age': '50_to_54', 'value': 59523, 'rate': 3172}, {'age': '5_to_9', 'value': 12702, 'rate': 682.5}, {'age': '65_to_69', 'value': 20629, 'rate': 1428.7}, {'age': '25_to_29', 'value': 67648, 'rate': 3990.7}, {'age': '85_to_89', 'value': 19566, 'rate': 3699.2}, {'age': '30_to_34', 'value': 63771, 'rate': 3413.3}, {'age': '75_to_79', 'value': 16767, 'rate': 1612.2}, {'age': '0_to_4', 'value': 11839, 'rate': 737}, {'age': '80_to_84', 'value': 18676, 'rate': 2321.6}, {'age': '40_to_44', 'value': 54810, 'rate': 2908.4}, {'age': '35_to_39', 'value': 58239, 'rate': 3053.3}, {'age': '55_to_59', 'value': 51616, 'rate': 2606.2}]",2453.3000000000001819,90.299999999999997158,397,50804
England,2020-11-27,13557,1367546,"[{'age': '10_to_14', 'value': 24074, 'rate': 1328.2}, {'age': '90+', 'value': 9624, 'rate': 5789.4}, {'age': '55_to_59', 'value': 44752, 'rate': 2322.5}, {'age': '80_to_84', 'value': 17473, 'rate': 2749.7}, {'age': '35_to_39', 'value': 46956, 'rate': 2470.7}, {'age': '40_to_44', 'value': 43667, 'rate': 2361.5}, {'age': '20_to_24', 'value': 60987, 'rate': 3841.2}, {'age': '0_to_4', 'value': 12206, 'rate': 720.9}, {'age': '50_to_54', 'value': 48975, 'rate': 2662.7}, {'age': '85_to_89', 'value': 14111, 'rate': 4021.9}, {'age': '60_to_64', 'value': 34125, 'rate': 2234.4}, {'age': '75_to_79', 'value': 17967, 'rate': 1994.8}, {'age': '15_to_19', 'value': 50597, 'rate': 2942.6}, {'age': '30_to_34', 'value': 51978, 'rate': 2688.8}, {'age': '65_to_69', 'value': 23197, 'rate': 1714.7}, {'age': '5_to_9', 'value': 13531, 'rate': 747.7}, {'age': '70_to_74', 'value': 20709, 'rate': 1556.9}, {'age': '45_to_49', 'value': 45676, 'rate': 2686.5}, {'age': '25_to_29', 'value': 54025, 'rate': 3013.6}]","[{'age': '0_to_4', 'value': 11745, 'rate': 731.1}, {'age': '85_to_89', 'value': 19484, 'rate': 3683.7}, {'age': '65_to_69', 'value': 20524, 'rate': 1421.4}, {'age': '70_to_74', 'value': 17941, 'rate': 1238}, {'age': '75_to_79', 'value': 16689, 'rate': 1604.7}, {'age': '35_to_39', 'value': 57822, 'rate': 3031.5}, {'age': '80_to_84', 'value': 18591, 'rate': 2311}, {'age': '25_to_29', 'value': 67250, 'rate': 3967.2}, {'age': '10_to_14', 'value': 23443, 'rate': 1358.4}, {'age': '45_to_49', 'value': 56865, 'rate': 3317.5}, {'age': '40_to_44', 'value': 54417, 'rate': 2887.6}, {'age': '30_to_34', 'value': 63343, 'rate': 3390.4}, {'age': '15_to_19', 'value': 62296, 'rate': 3810.6}, {'age': '50_to_54', 'value': 59127, 'rate': 3150.9}, {'age': '5_to_9', 'value': 12578, 'rate': 675.9}, {'age': '20_to_24', 'value': 74002, 'rate': 4925.2}, {'age': '60_to_64', 'value': 34745, 'rate': 2192.7}, {'age': '55_to_59', 'value': 51308, 'rate': 2590.6}, {'age': '90+', 'value': 21241, 'rate': 6050.9}]",2429.5999999999999091,89.599999999999994316,451,50407
England,2020-11-26,14637,1355272,"[{'age': '80_to_84', 'value': 17355, 'rate': 2731.1}, {'age': '30_to_34', 'value': 51550, 'rate': 2666.7}, {'age': '55_to_59', 'value': 44451, 'rate': 2306.8}, {'age': '75_to_79', 'value': 17836, 'rate': 1980.2}, {'age': '10_to_14', 'value': 23643, 'rate': 1304.5}, {'age': '50_to_54', 'value': 48557, 'rate': 2640}, {'age': '15_to_19', 'value': 50204, 'rate': 2919.8}, {'age': '0_to_4', 'value': 12078, 'rate': 713.3}, {'age': '90+', 'value': 9554, 'rate': 5747.3}, {'age': '65_to_69', 'value': 23038, 'rate': 1703}, {'age': '85_to_89', 'value': 14038, 'rate': 4001.1}, {'age': '60_to_64', 'value': 33865, 'rate': 2217.4}, {'age': '70_to_74', 'value': 20578, 'rate': 1547}, {'age': '5_to_9', 'value': 13284, 'rate': 734.1}, {'age': '40_to_44', 'value': 43260, 'rate': 2339.5}, {'age': '20_to_24', 'value': 60662, 'rate': 3820.7}, {'age': '45_to_49', 'value': 45303, 'rate': 2664.6}, {'age': '25_to_29', 'value': 53646, 'rate': 2992.4}, {'age': '35_to_39', 'value': 46551, 'rate': 2449.3}]","[{'age': '90+', 'value': 21051, 'rate': 5996.8}, {'age': '60_to_64', 'value': 34453, 'rate': 2174.2}, {'age': '75_to_79', 'value': 16544, 'rate': 1590.8}, {'age': '20_to_24', 'value': 73537, 'rate': 4894.3}, {'age': '65_to_69', 'value': 20348, 'rate': 1409.2}, {'age': '50_to_54', 'value': 58633, 'rate': 3124.6}, {'age': '40_to_44', 'value': 53858, 'rate': 2857.9}, {'age': '25_to_29', 'value': 66731, 'rate': 3936.6}, {'age': '5_to_9', 'value': 12359, 'rate': 664.1}, {'age': '35_to_39', 'value': 57275, 'rate': 3002.8}, {'age': '15_to_19', 'value': 61846, 'rate': 3783.1}, {'age': '30_to_34', 'value': 62789, 'rate': 3360.8}, {'age': '10_to_14', 'value': 23033, 'rate': 1334.7}, {'age': '80_to_84', 'value': 18452, 'rate': 2293.7}, {'age': '45_to_49', 'value': 56363, 'rate': 3288.2}, {'age': '55_to_59', 'value': 50871, 'rate': 2568.6}, {'age': '0_to_4', 'value': 11594, 'rate': 721.7}, {'age': '70_to_74', 'value': 17779, 'rate': 1226.8}, {'age': '85_to_89', 'value': 19322, 'rate': 3653}]",2407.8000000000001819,88.799999999999997158,411,49956
England,2020-11-25,15893,1340635,"[{'age': '75_to_79', 'value': 17702, 'rate': 1965.3}, {'age': '15_to_19', 'value': 49794, 'rate': 2895.9}, {'age': '60_to_64', 'value': 33591, 'rate': 2199.5}, {'age': '85_to_89', 'value': 13946, 'rate': 3974.9}, {'age': '70_to_74', 'value': 20456, 'rate': 1537.9}, {'age': '40_to_44', 'value': 42854, 'rate': 2317.5}, {'age': '45_to_49', 'value': 44890, 'rate': 2640.3}, {'age': '30_to_34', 'value': 51118, 'rate': 2644.3}, {'age': '80_to_84', 'value': 17233, 'rate': 2711.9}, {'age': '35_to_39', 'value': 46145, 'rate': 2428}, {'age': '20_to_24', 'value': 60327, 'rate': 3799.6}, {'age': '0_to_4', 'value': 11919, 'rate': 703.9}, {'age': '65_to_69', 'value': 22891, 'rate': 1692.1}, {'age': '10_to_14', 'value': 23185, 'rate': 1279.2}, {'age': '90+', 'value': 9473, 'rate': 5698.6}, {'age': '25_to_29', 'value': 53222, 'rate': 2968.8}, {'age': '5_to_9', 'value': 13055, 'rate': 721.4}, {'age': '55_to_59', 'value': 44109, 'rate': 2289.1}, {'age': '50_to_54', 'value': 48179, 'rate': 2619.4}]","[{'age': '85_to_89', 'value': 19196, 'rate': 3629.2}, {'age': '45_to_49', 'value': 55847, 'rate': 3258.1}, {'age': '60_to_64', 'value': 34165, 'rate': 2156.1}, {'age': '55_to_59', 'value': 50491, 'rate': 2549.4}, {'age': '5_to_9', 'value': 12156, 'rate': 653.2}, {'age': '30_to_34', 'value': 62162, 'rate': 3327.2}, {'age': '25_to_29', 'value': 66173, 'rate': 3903.7}, {'age': '90+', 'value': 20889, 'rate': 5950.6}, {'age': '15_to_19', 'value': 61365, 'rate': 3753.7}, {'age': '50_to_54', 'value': 58171, 'rate': 3099.9}, {'age': '80_to_84', 'value': 18309, 'rate': 2275.9}, {'age': '0_to_4', 'value': 11447, 'rate': 712.6}, {'age': '70_to_74', 'value': 17639, 'rate': 1217.2}, {'age': '20_to_24', 'value': 73085, 'rate': 4864.2}, {'age': '65_to_69', 'value': 20195, 'rate': 1398.6}, {'age': '35_to_39', 'value': 56686, 'rate': 2971.9}, {'age': '10_to_14', 'value': 22603, 'rate': 1309.8}, {'age': '75_to_79', 'value': 16403, 'rate': 1577.2}, {'age': '40_to_44', 'value': 53285, 'rate': 2827.5}]",2381.8000000000001819,88,604,49545
England,2020-11-24,9854,1324742,"[{'age': '60_to_64', 'value': 33337, 'rate': 2182.8}, {'age': '55_to_59', 'value': 43706, 'rate': 2268.2}, {'age': '20_to_24', 'value': 59902, 'rate': 3772.8}, {'age': '85_to_89', 'value': 13827, 'rate': 3941}, {'age': '90+', 'value': 9390, 'rate': 5648.7}, {'age': '10_to_14', 'value': 22644, 'rate': 1249.3}, {'age': '15_to_19', 'value': 49318, 'rate': 2868.2}, {'age': '45_to_49', 'value': 44395, 'rate': 2611.2}, {'age': '30_to_34', 'value': 50647, 'rate': 2620}, {'age': '25_to_29', 'value': 52771, 'rate': 2943.6}, {'age': '50_to_54', 'value': 47740, 'rate': 2595.6}, {'age': '35_to_39', 'value': 45678, 'rate': 2403.4}, {'age': '40_to_44', 'value': 42347, 'rate': 2290.1}, {'age': '70_to_74', 'value': 20289, 'rate': 1525.3}, {'age': '80_to_84', 'value': 17123, 'rate': 2694.6}, {'age': '75_to_79', 'value': 17552, 'rate': 1948.7}, {'age': '0_to_4', 'value': 11760, 'rate': 694.5}, {'age': '65_to_69', 'value': 22696, 'rate': 1677.7}, {'age': '5_to_9', 'value': 12800, 'rate': 707.3}]","[{'age': '90+', 'value': 20725, 'rate': 5903.9}, {'age': '70_to_74', 'value': 17473, 'rate': 1205.7}, {'age': '25_to_29', 'value': 65529, 'rate': 3865.7}, {'age': '15_to_19', 'value': 60878, 'rate': 3723.9}, {'age': '20_to_24', 'value': 72498, 'rate': 4825.1}, {'age': '85_to_89', 'value': 19047, 'rate': 3601.1}, {'age': '80_to_84', 'value': 18133, 'rate': 2254.1}, {'age': '5_to_9', 'value': 11902, 'rate': 639.5}, {'age': '0_to_4', 'value': 11292, 'rate': 702.9}, {'age': '10_to_14', 'value': 22106, 'rate': 1281}, {'age': '55_to_59', 'value': 50029, 'rate': 2526}, {'age': '30_to_34', 'value': 61512, 'rate': 3292.4}, {'age': '65_to_69', 'value': 20020, 'rate': 1386.5}, {'age': '60_to_64', 'value': 33842, 'rate': 2135.7}, {'age': '35_to_39', 'value': 56034, 'rate': 2937.7}, {'age': '75_to_79', 'value': 16260, 'rate': 1563.5}, {'age': '40_to_44', 'value': 52672, 'rate': 2795}, {'age': '45_to_49', 'value': 55245, 'rate': 3223}, {'age': '50_to_54', 'value': 57600, 'rate': 3069.5}]",2353.5999999999999091,86.900000000000005684,535,48941
England,2020-11-23,13329,1314888,"[{'age': '70_to_74', 'value': 20129, 'rate': 1513.3}, {'age': '90+', 'value': 9285, 'rate': 5585.5}, {'age': '30_to_34', 'value': 50170, 'rate': 2595.3}, {'age': '75_to_79', 'value': 17416, 'rate': 1933.6}, {'age': '25_to_29', 'value': 52277, 'rate': 2916.1}, {'age': '15_to_19', 'value': 48855, 'rate': 2841.3}, {'age': '5_to_9', 'value': 12559, 'rate': 694}, {'age': '10_to_14', 'value': 22154, 'rate': 1222.3}, {'age': '45_to_49', 'value': 43896, 'rate': 2581.8}, {'age': '40_to_44', 'value': 41920, 'rate': 2267}, {'age': '35_to_39', 'value': 45209, 'rate': 2378.7}, {'age': '50_to_54', 'value': 47287, 'rate': 2570.9}, {'age': '85_to_89', 'value': 13669, 'rate': 3896}, {'age': '60_to_64', 'value': 33040, 'rate': 2163.4}, {'age': '55_to_59', 'value': 43301, 'rate': 2247.2}, {'age': '0_to_4', 'value': 11612, 'rate': 685.8}, {'age': '65_to_69', 'value': 22513, 'rate': 1664.2}, {'age': '20_to_24', 'value': 59533, 'rate': 3749.6}, {'age': '80_to_84', 'value': 16967, 'rate': 2670}]","[{'age': '70_to_74', 'value': 17291, 'rate': 1193.2}, {'age': '20_to_24', 'value': 71915, 'rate': 4786.3}, {'age': '45_to_49', 'value': 54603, 'rate': 3185.5}, {'age': '30_to_34', 'value': 60800, 'rate': 3254.3}, {'age': '10_to_14', 'value': 21655, 'rate': 1254.8}, {'age': '65_to_69', 'value': 19847, 'rate': 1374.5}, {'age': '85_to_89', 'value': 18832, 'rate': 3560.4}, {'age': '5_to_9', 'value': 11675, 'rate': 627.3}, {'age': '80_to_84', 'value': 17937, 'rate': 2229.7}, {'age': '50_to_54', 'value': 57054, 'rate': 3040.4}, {'age': '40_to_44', 'value': 52016, 'rate': 2760.2}, {'age': '55_to_59', 'value': 49562, 'rate': 2502.5}, {'age': '25_to_29', 'value': 64909, 'rate': 3829.1}, {'age': '60_to_64', 'value': 33487, 'rate': 2113.3}, {'age': '75_to_79', 'value': 16115, 'rate': 1549.6}, {'age': '35_to_39', 'value': 55370, 'rate': 2902.9}, {'age': '15_to_19', 'value': 60398, 'rate': 3694.5}, {'age': '0_to_4', 'value': 11139, 'rate': 693.4}, {'age': '90+', 'value': 20495, 'rate': 5838.4}]",2336,86,194,48406
England,2020-11-22,16668,1301559,"[{'age': '5_to_9', 'value': 12264, 'rate': 677.7}, {'age': '30_to_34', 'value': 49587, 'rate': 2565.1}, {'age': '50_to_54', 'value': 46725, 'rate': 2540.4}, {'age': '15_to_19', 'value': 48332, 'rate': 2810.9}, {'age': '25_to_29', 'value': 51679, 'rate': 2882.7}, {'age': '35_to_39', 'value': 44673, 'rate': 2350.5}, {'age': '60_to_64', 'value': 32685, 'rate': 2140.1}, {'age': '90+', 'value': 9204, 'rate': 5536.8}, {'age': '70_to_74', 'value': 19953, 'rate': 1500.1}, {'age': '0_to_4', 'value': 11436, 'rate': 675.4}, {'age': '80_to_84', 'value': 16817, 'rate': 2646.4}, {'age': '55_to_59', 'value': 42831, 'rate': 2222.8}, {'age': '85_to_89', 'value': 13543, 'rate': 3860.1}, {'age': '10_to_14', 'value': 21584, 'rate': 1190.9}, {'age': '65_to_69', 'value': 22275, 'rate': 1646.6}, {'age': '45_to_49', 'value': 43360, 'rate': 2550.3}, {'age': '20_to_24', 'value': 59068, 'rate': 3720.3}, {'age': '75_to_79', 'value': 17263, 'rate': 1916.6}, {'age': '40_to_44', 'value': 41328, 'rate': 2235}]","[{'age': '25_to_29', 'value': 64217, 'rate': 3788.3}, {'age': '75_to_79', 'value': 15935, 'rate': 1532.2}, {'age': '70_to_74', 'value': 17098, 'rate': 1179.8}, {'age': '45_to_49', 'value': 53887, 'rate': 3143.7}, {'age': '65_to_69', 'value': 19624, 'rate': 1359.1}, {'age': '55_to_59', 'value': 48965, 'rate': 2472.3}, {'age': '15_to_19', 'value': 59742, 'rate': 3654.4}, {'age': '50_to_54', 'value': 56423, 'rate': 3006.8}, {'age': '5_to_9', 'value': 11401, 'rate': 612.6}, {'age': '10_to_14', 'value': 21095, 'rate': 1222.4}, {'age': '90+', 'value': 20261, 'rate': 5771.7}, {'age': '60_to_64', 'value': 33097, 'rate': 2088.7}, {'age': '0_to_4', 'value': 10980, 'rate': 683.5}, {'age': '35_to_39', 'value': 54628, 'rate': 2864}, {'age': '20_to_24', 'value': 71241, 'rate': 4741.5}, {'age': '30_to_34', 'value': 60050, 'rate': 3214.2}, {'age': '40_to_44', 'value': 51278, 'rate': 2721}, {'age': '85_to_89', 'value': 18628, 'rate': 3521.8}, {'age': '80_to_84', 'value': 17748, 'rate': 2206.2}]",2312.4000000000000909,85.700000000000002842,370,48212
